Comp,Sydney Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,23rd Feb 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Sarah Ringrose,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,61.86,,X,,64.01,,63.7,,58.63,,64.02,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,6.3,,6.88,,7.06,,9.7,,11.4,,5.5,,,,,,,,,,,,,,,,
,R On,6.68,,7.26,,7.42,,10.1,,11.76,,5.86,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),6.94,,7.48,,7.64,,10.38,,12,,6.12,,,,,,,,,,,,,,,,
Turn 2,R Off,7.08,,7.62,,7.78,,10.5,,12.14,,6.26,,,,,,,,,,,,,,,,
,R On,7.38,,7.92,,8.11,,10.78,,12.44,,6.56,,,,,,,,,,,,,,,,
,L Toe Up,7.56,,8.14,,8.34,,11,,12.64,,6.74,,,,,,,,,,,,,,,,
Turn 3,R Off,7.66,,8.24,,8.42,,11.08,,12.7,,6.86,,,,,,,,,,,,,,,,
,R On,7.96,,8.5,,8.7,,11.34,,13,,7.14,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 4 ,R Off,8.26,,8.78,,9.04,,11.66,,13.33,,7.45,,,,,,,,,,,,,,,,
,R On,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,628,428,,,,,,
,In hand,653,407,587,326,666,424,,,613,418,621,395,,,,,,,,,,,,,,,
Release,Out of hand 1,690,435,624,355,698,449,609,387,647,447,660,425,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,727,464,662,384,731,474,648,418,679,476,696,453,,,,,,,Calibration,,,,,,,,
,Out of hand 3,763,493,699,412,764,499,682,447,712,504,732,482,,,,,,,,Dimensions of pole used (m),,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,2.135,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,2.03,,height,,,,
,,38.5,38.5,37.2,37.2,37.1,37.1,39.4,39.4,41.2,41.2,38.4,38.4,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,38.1,0.4,37.3,-0.1,37.1,0,38.5,0.9,42.2,-0.9,37.9,0.5,,#DIV/0!,#DIV/0!,,,,Pt 1,629,48,Front of circle - ground,,swap?,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,,,Front of circle - 1.8m,,,,,scale factor
