Comp,Canberra Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29th January 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,X,,65.94,,65.93,,67.79,,65.16,,X,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,9.42,,6.14,,9.4,,6.58,,9.16,,9.14,,,,,,,,,,,,,,,,
,R On,9.7,,6.42,,9.72,,6.9,,9.44,,9.46,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),10.02,,6.74,,10,,7.2,,9.74,,9.76,,,,,,,,,,,,,,,,
Turn 2,R Off,10.08,,6.78,,10.05,,7.24,,9.78,,9.81,,,,,,,,,,,,,,,,
,R On,10.32,,7,,10.28,,7.48,,10.01,,10.04,,,,,,,,,,,,,,,,
,L Toe Up,10.54,,7.24,,10.5,,7.69,,10.24,,10.28,,,,,,,,,,,,,,,,
Turn 3,R Off,10.58,,7.29,,10.54,,7.72,,10.26,,10.31,,,,,,,,,,,,,,,,
,R On,10.8,,7.54,,10.82,,7.96,,10.51,,10.56,,,,,,,,,,,,,,,,
,L Toe Up,10.98,,7.7,,10.96,,8.14,,10.68,,10.76,,,,,,,,,,,,,,,,
Turn 4 ,R Off,11.04,,7.75,,11.01,,8.17,,10.72,,10.78,,,,,,,,,,,,,,,,
,R On,11.28,,8.03,,11.3,,8.44,,11.04,,11.06,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,11.53,,8.26,,11.51,,8.7,,11.25,,11.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,1199,922,1028,973,1094,909,1147,904,961,925,1207,955,,,,,,,,,,,,,,,
Release,Out of hand 1,1278,990,1112,1049,1177,985,1232,978,1052,1003,1279,1023,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,1356,1057,,,1257,1059,1318,1054,,,,,,,,,,,Calibration,,,,,,,,
,Out of hand 3,,,,,,,,,,,,,,,,,,,,Dimensions of pole used (m),,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,3,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,2.03,,height,,,,
,,37.8,37.8,43.3,43.3,39.9,39.9,38.2,38.2,43.6,43.6,38.7,38.7,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,40.7,-2.9,42.1,1.2,42.8,-2.8,41.5,-3.2,40.6,3,43.4,-4.7,,#DIV/0!,#DIV/0!,,,,Pt 1,1332,117,Front of circle - ground,,,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,1318,931,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,146,919,Back of circle -1.8m,,,x,1178,0.002547
,,78,67,84,1049,80,74,86,74,91,1003,72,1023,,0,0,,,,Pt 4,154,126,Back of circle - ground,,,y,814,0.002494
,,0.2,0.17,0.21,2.62,0.2,0.18,0.22,0.18,0.23,2.5,0.18,2.55,,0,0,,,,,-34.6,,,,,34.6,,
,Velocity,19.86,16.71,21.39,261.61,20.37,18.45,21.9,18.45,23.17,250.13,18.34,255.12,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-2.177137592,,-2.324275184,,-2.164668305,,-1.962665848,,-2.20955774,,-2.259434889,,,0.291781327,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,1332,117,
