Comp,Sydney Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,23rd Feb 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,X,,60.1,,X,,64.89,,66.21,,X,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,4.26,,5.04,,4.08,,5.88,,5.14,,4.72,,,,,,,,,,,,,,,,
,R On,4.54,,5.34,,4.4,,6.18,,5.46,,5.04,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),4.86,,5.68,,4.68,,6.48,,5.8,,5.34,,,,,,,,,,,,,,,,
Turn 2,R Off,4.94,,5.72,,4.76,,6.54,,5.88,,5.38,,,,,,,,,,,,,,,,
,R On,5.18,,5.94,,5,,6.78,,6.12,,5.62,,,,,,,,,,,,,,,,
,L Toe Up,5.4,,6.2,,5.2,,7.02,,6.32,,5.82,,,,,,,,,,,,,,,,
Turn 3,R Off,5.46,,6.24,,5.26,,7.06,,6.36,,5.9,,,,,,,,,,,,,,,,
,R On,5.7,,6.48,,5.48,,7.32,,6.62,,6.16,,,,,,,,,,,,,,,,
,L Toe Up,5.9,,6.68,,5.66,,7.48,,6.78,,6.34,,,,,,,,,,,,,,,,
Turn 4 ,R Off,5.94,,6.74,,5.74,,7.54,,6.84,,6.38,,,,,,,,,,,,,,,,
,R On,6.18,,7.02,,5.98,,7.8,,7.1,,6.64,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,6.46,,7.26,,6.24,,8.03,,7.34,,6.88,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,,,704,627,654,595,584,607,551,550,554,642,,,,,,,,,,,,,,,
Release,Out of hand 1,,,747,671,702,647,642,662,606,606,602,688,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,,,794,719,738,690,699,719,656,659,644,731,,,,,,,Calibration,,,,,,,,
,Out of hand 3,,,842,766,781,739,741,761,716,723,,,,,,,,,,Dimensions of pole used (m),,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,2.15,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,
,,#DIV/0!,#DIV/0!,45,45,49.3,49.3,45,45,46.8,46.8,48.8,48.8,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,#DIV/0!,#DIV/0!,45.6,-0.6,50.1,-0.7,45,0,46.7,0.1,45.7,3.1,,#DIV/0!,#DIV/0!,,,,Pt 1,634,42,Front of circle - ground,,swap?,,,
,,,,,,,,57,,,,,,,,,,,,Pt 2,625,459,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,45,448,Back of circle -1.8m,,,x,581,0.003701
,,0,0,47,48,36,43,57,55,50,53,42,43,,0,0,,,,Pt 4,53,32,Back of circle - ground,,,y,417,0.003657
,,0,0,0.17,0.18,0.13,0.16,0.21,0.2,0.19,0.19,0.16,0.16,,0,0,,,,,35.7,,,,,35.7,,
