Comp,Sydney National Championships - Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,6th April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,,,,
,,X,,64.97,,X,,65.48,,64.24,,65.49,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
Turn 1,R Off,4.98,,6.98,,3.14,,3.84,,2.76,,4.92,,,,,,,,,,,,,,,,,,,
,R On,5.34,,7.3,,3.5,,4.18,,3.08,,5.24,,,,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),5.66,,7.6,,3.8,,4.48,,3.4,,5.54,,,,,,,,,,,,,,,,,,,
Turn 2,R Off,5.72,,7.66,,3.86,,4.5,,3.44,,5.58,,,,,,,,,,,,,,,,,,,
,R On,5.98,,7.92,,4.08,,4.78,,3.68,,5.84,,,,,,,,,,,,,,,,,,,
,L Toe Up,6.2,,8.11,,4.32,,5.02,,3.9,,6.06,,,,,,,,,,,,,,,,,,,
Turn 3,R Off,6.24,,8.18,,4.34,,5.06,,3.94,,6.08,,,,,,,,,,,,,,,,,,,
,R On,6.5,,8.42,,4.58,,5.26,,4.18,,6.36,,,,,,,,,,,,,,,,,,,
,L Toe Up,6.68,,8.6,,4.76,,5.46,,4.36,,6.52,,,,,,,,,,,,,,,,,,,
Turn 4 ,R Off,6.74,,8.66,,4.8,,5.5,,4.42,,6.6,,,,,,,,,,,,,,,,,,,
,R On,7,,8.94,,5.06,,5.76,,4.68,,6.84,,,,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,7.25,,9.16,,5.32,,6.03,,4.93,,7.08,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,830,552,779,601,822,617,840,652,741,637,781,578,,,,,,,,,,,,,,,,,,
Release,Out of hand 1,880,600,833,652,879,664,896,700,795,686,836,629,,,,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,,,884,701,,,949,746,850,734,887,679,,,,,,,Calibration,,,,,,,,,,,
,Out of hand 3,974,695,,,987,756,1003,795,900,781,,,,,,,,,,Dimensions of pole used (m),,,,,,,,,,
,,1024,745,,,1040,801,,,957,829,992,781,,,,,,,,x,2.07,,horizontal length,,,,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,,,,
,,45.3,45.3,38.1,38.1,40.4,40.4,41.6,41.6,42.1,42.1,44.2,44.2,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
