Comp,Sydney Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,23rd Feb 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,X,,64.69,,65.05,,68.15,,64.18,,65.73,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,3.68,,3.52,,3.4,,5.56,,7.92,,4.14,,,,,,,,,,,,,,,,
,R On,3.98,,3.82,,3.7,,5.86,,8.22,,4.44,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),4.3,,4.16,,4.04,,6.16,,8.54,,4.74,,,,,,,,,,,,,,,,
Turn 2,R Off,4.36,,4.2,,4.08,,6.22,,8.56,,4.76,,,,,,,,,,,,,,,,
,R On,4.6,,4.46,,4.32,,6.46,,8.78,,5,,,,,,,,,,,,,,,,
,L Toe Up,4.84,,4.66,,4.54,,6.68,,9.02,,5.24,,,,,,,,,,,,,,,,
Turn 3,R Off,4.86,,4.7,,4.56,,6.7,,9.06,,5.27,,,,,,,,,,,,,,,,
,R On,5.1,,4.94,,4.82,,6.95,,9.32,,5.54,,,,,,,,,,,,,,,,
,L Toe Up,5.3,,5.13,,5,,7.12,,9.48,,5.7,,,,,,,,,,,,,,,,
Turn 4 ,R Off,5.34,,5.16,,5.04,,7.16,,9.51,,5.74,,,,,,,,,,,,,,,,
,R On,5.62,,5.44,,5.32,,7.44,,9.8,,6,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,5.88,,5.68,,5.55,,7.7,,10.04,,6.27,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,722,499,705,450,674,478,719,453,719,502,685,483,,,,,,,,,,,,,,,
Release,Out of hand 1,754,527,740,485,709,513,756,486,757,535,720,519,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,784,551,775,519,743,545,792,522,791,568,758,551,,,,,,,Calibration,,,,,,,,
,Out of hand 3,814,575,810,552,777,577,826,554,827,598,793,588,,,,,,,,Dimensions of pole used (m),,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,2.15,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,2.03,,height,,,,
