Comp,Sydney Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,22/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,X,,X,,67.13,,68.48,,69.4,,70.55,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,12.32,,10.46,,10.8,,19.02,,12.68,,14.18,,,,,,,,,,,,,,,,
,R On,12.92,,11.02,,11.5,,19.68,,13.28,,14.74,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),13.52,,11.64,,12.12,,20.3,,13.88,,15.36,,,,,,,,,,,,,,,,
Turn 2,R Off,13.68,,11.84,,12.24,,20.44,,13.98,,15.5,,,,,,,,,,,,,,,,
,R On,14.12,,12.24,,12.74,,20.88,,14.42,,15.94,,,,,,,,,,,,,,,,
,L Toe Up,14.56,,12.68,,13.1,,21.38,,14.88,,16.37,,,,,,,,,,,,,,,,
Turn 3,R Off,14.62,,12.82,,13.28,,21.46,,15.02,,16.52,,,,,,,,,,,,,,,,
,R On,15.12,,13.24,,13.74,,21.9,,15.46,,16.96,,,,,,,,,,,,,,,,
,L Toe Up,15.46,,13.58,,14.06,,22.26,,15.82,,17.32,,,,,,,,,,,,,,,,
Turn 4 ,R Off,15.58,,13.68,,14.2,,22.36,,15.96,,17.38,,,,,,,,,,,,,,,,
,R On,16.05,,14.22,,14.7,,22.84,,16.42,,17.88,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,16.6,,14.74,,15.2,,23.38,,16.94,,18.42,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,1029,708,950,695,1008,769,1039,801,947,757,1054,802,,,,,,,,,,,,,,,
Release,Out of hand 1,1087,766,1009,754,1067,825,1097,856,1008,819,1114,859,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,1144,822,1063,806,1124,884,1155,909,1068,875,1171,913,,,,,,,Calibration,,,,,,,,
,Out of hand 3,1199,876,1116,863,1179,939,1215,965,1129,936,1233,971,,,,,,,,Dimensions of pole used (m),,,,,,628,428
,,,,,,,,,,,,,,,,,,,,,x,2.12,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,
,,44.5,44.5,45.5,45.5,45.5,45.5,42.7,42.7,44,44,43.3,43.3,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,44.7,-0.2,45.3,0.2,44.8,0.7,43,-0.2,44.5,-0.5,43.4,-0.1,,#DIV/0!,#DIV/0!,,,,Pt 1,861,35,Front of circle - ground,,,,479.0801887,514
,,,,,,,,,,,,,,,,,,,,Pt 2,,,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,,,Back of circle -1.8m,,,x,666,0.003183
,,56.67,56,55.33,52,57,59,58.67,55,60.67,56,59.67,54,,0,0,,,,Pt 4,195,32,Back of circle - ground,,,y,479,0.003184
,,0.18,0.18,0.18,0.17,0.18,0.19,0.19,0.18,0.19,0.18,0.19,0.17,,0,0,,,,,35.7,,,,,35.7,,
,Velocity,18.04,17.83,17.61,16.56,18.14,18.78,18.67,17.51,19.31,17.83,18.99,17.19,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-2.327296451,,-2.289091858,,-2.515135699,,-2.613830898,,-2.496033403,,-2.623382046,,,0.111430063,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,861,35,
,cos 38.7 = 15.93/res,25.35775243,,25.05584406,,25.58440554,,25.52403315,,27.07366533,,26.12233879,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,resl = 15.93/cos38.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,0.5,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.6,,0.62,,0.62,,0.62,,0.6,,0.62,,,0,,,,,,,,,,,,,
Turn 2,,0.44,,0.44,,0.36,,0.5,,0.46,,0.43,,,0,,,,,,,,,,,,,
Turn 3,,0.34,,0.34,,0.32,,0.36,,0.36,,0.36,,,0,,,,,,,,,,,,,
Turn 4,,0.55,,0.52,,0.5,,0.54,,0.52,,0.54,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.3,,0.28,,0.35,,0.33,,0.3,,0.28,,,0,,,,,,,,,,,,,
,Double (s),0.38,,0.41,,0.37,,0.38,,0.35,,0.38,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.22,,0.2,,0.25,,0.22,,0.22,,0.22,,,0,,,,,,,,,,,,,
,Double (s),0.25,,0.29,,0.27,,0.29,,0.3,,0.29,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.25,,0.21,,0.23,,0.22,,0.22,,0.22,,,0,,,,,,,,,,,,,
,Double (s),0.23,,0.22,,0.23,,0.23,,0.25,,0.21,,,0,,,,,,,,,,,,,
Turn 4,Single (s),0.235,,0.27,,0.25,,0.24,,0.23,,0.25,,,0,,,,,,,,,,,,,
,Double (s),0.275,,0.26,,0.25,,0.27,,0.26,,0.27,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.68,,0.69,,0.72,,0.71,,0.65,,0.66,,,0,,,,,,,,,,,,,
Turn 2,,0.47,,0.49,,0.52,,0.51,,0.52,,0.51,,,0,,,,,,,,,,,,,
Turn 3,,0.48,,0.43,,0.46,,0.45,,0.47,,0.43,,,0,,,,,,,,,,,,,
Turn 4,,0.51,,0.53,,0.5,,0.51,,0.49,,0.52,,,0,,,,,,,,,,,,,
Total throw time,,2.14,,2.14,,2.2,,2.18,,2.13,,2.12,,,0,,,,,,,,,,,,,
