Comp,Townsville Oceania Championships,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,28th June 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Ned Weatherly,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,67.85,,62.97,,63.32,,65.94,,X,,65.73,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,6.54,,7.8,,6.74,,6.24,,6.24,,5.81,,,,,,,,,,,,,,,,
,R On,6.8,,8.06,,7,,6.5,,6.5,,6.06,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),7.02,,8.26,,7.2,,6.7,,6.7,,6.28,,,,,,,,,,,,,,,,
Turn 2,R Off,7.09,,8.36,,7.3,,6.8,,6.8,,6.36,,,,,,,,,,,,,,,,
,R On,7.3,,8.57,,7.5,,7,,7,,6.56,,,,,,,,,,,,,,,,
,L Toe Up,7.54,,8.76,,7.72,,7.2,,7.2,,6.76,,,,,,,,,,,,,,,,
Turn 3,R Off,7.56,,8.82,,7.76,,7.28,,7.28,,6.83,,,,,,,,,,,,,,,,
,R On,7.78,,9.04,,8,,7.46,,7.46,,7.04,,,,,,,,,,,,,,,,
,L Toe Up,8,,9.22,,8.2,,7.68,,7.66,,7.22,,,,,,,,,,,,,,,,
Turn 4 ,R Off,8.02,,9.28,,8.25,,7.74,,7.74,,7.3,,,,,,,,,,,,,,,,
,R On,8.24,,9.54,,8.46,,7.94,,7.94,,7.5,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,8.52,,9.79,,8.74,,8.25,,8.25,,7.78,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,799,539,897,658,883,606,968,625,885,779,939,625,,,,,,,,,,,,,,,
Release,Out of hand 1,877,605,964,723,952,670,1037,694,948,838,1007,692,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,953,670,1032,791,1018,733,1104,757,1012,895,1074,755,,,,,,,Calibration,,,,,,,,
,Out of hand 3,1029,738,1099,856,1082,793,1174,822,1072,950,1140,819,,,,,,,,Dimensions of pole used (m),,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,2.14,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,
,,41.2,41.2,44.6,44.6,43.4,43.4,43.1,43.1,42.1,42.1,43.7,43.7,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
